X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.181188732,4.60220760499999,1810421,12795289,A001390309,2022/01/14 05:00:00+00,11:00:00,2022,ENERO,VIERNES,2022/01/14 16:00:00+00,KR 78 B 63 SUR 02,CHOQUE,BOSA,2,CICLISTA,S,2022/01/14 05:00:00+00,MASCULINO,63,CICLISTA
-74.120804987,4.57199715600001,1810456,12794415,A001389881,2022/01/18 05:00:00+00,11:10:00,2022,ENERO,MARTES,2022/01/18 16:10:00+00,DG 45 BIS 13 F SUR 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,S,2022/01/20 00:00:00+00,MASCULINO,80,PEATON
-74.164,4.595630427,1810531,12795405,A001390919,2022/01/28 05:00:00+00,19:54:00,2022,ENERO,VIERNES,2022/01/29 00:54:00+00,KR 71 B 57 R SUR 02,CHOQUE,CIUDAD BOLIVAR,2,CICLISTA,N,,MASCULINO,25,CICLISTA
-74.15501756,4.62687005800001,1810740,12795616,A001391162,2022/01/26 05:00:00+00,09:10:00,2022,ENERO,MIERCOLES,2022/01/26 14:10:00+00,CL 36 SUR 79 A 02,ATROPELLO,KENNEDY,,PEATON,N,,FEMENINO,73,PEATON
-74.142876089,4.55329982699999,1810882,12793824,A001390273,2022/01/12 05:00:00+00,12:20:00,2022,ENERO,MIERCOLES,2022/01/12 17:20:00+00,CL 65 A SUR 18 K 02,CHOQUE,CIUDAD BOLIVAR,2,MOTOCICLISTA,N,,MASCULINO,22,MOTOCICLISTA
-74.169243092,4.62917752999999,1810891,12793832,A001389821,2022/01/12 05:00:00+00,07:00:00,2022,ENERO,MIERCOLES,2022/01/12 12:00:00+00,AVENIDA CIUDAD DE CALI 42 B SUR 02,CAIDA DE OCUPANTE,KENNEDY,1,PASAJERO,N,,MASCULINO,22,PASAJERO
-74.121129434,4.72154925900003,1810907,12793851,A001390282,2022/01/18 05:00:00+00,05:07:00,2022,ENERO,MARTES,2022/01/18 10:07:00+00,CL 80 114 02,CHOQUE,ENGATIVA,2,CICLISTA,N,,MASCULINO,30,CICLISTA
-74.072,4.61000000000001,1811000,12810202,A001447672,2022/04/08 05:00:00+00,16:00:00,2022,ABRIL,VIERNES,2022/04/08 21:00:00+00,KR 10 23 02,ATROPELLO,SANTA FE,,PEATON,N,,MASCULINO,55,PEATON
-74.168283791,4.62433634500002,1811177,12796063,A001391207,2021/11/25 05:00:00+00,20:00:00,2021,NOVIEMBRE,JUEVES,2021/11/26 01:00:00+00,AVENIDA CIUDAD DE VILLAVICENCIO 81 C SUR 02,ATROPELLO,KENNEDY,,PEATON,N,,MASCULINO,55,PEATON
-74.087,4.58600000000001,1811318,12796203,A001391630,2022/02/01 05:00:00+00,13:45:00,2022,FEBRERO,MARTES,2022/02/01 18:45:00+00,KR 10 3 SUR 02,ATROPELLO,ANTONIO NARINO,,PEATON,S,2022/02/04 00:00:00+00,MASCULINO,72,PEATON
